Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Saudi Arabia,SAU,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,1131757,1267220,1289886,1368149,1393590,1336833,1305312,..
Saudi Arabia,SAU,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,404094,432348,444800,525344,573803,603771,636445,674412,714877,757770,903567,1021288,1206007,1356602,1496730,1527769,1622441,1680913,1620491,1653069,..
Saudi Arabia,SAU,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,66074,70411,75225,79100,76050,79403,81212,..
Saudi Arabia,SAU,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,1298,1814,1561,2001,1806,2032,2410,2298,2270,2343,2565,4784,5185,5652,5607,7164,7584,7824,8881,10541,..
Senegal,SEN,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,102649,105729,110877,113949,116964,120131,122802,143621,148277,..
Senegal,SEN,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,52282,59127,62539,71211,91359,94371,92106,123683,127394,133587,141151,144827,150367,162635,184879,195207,..
Senegal,SEN,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,18248,18796,19704,23934,24398,26815,31794,33701,38136,..
Senegal,SEN,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,2786,2795,2824,3044,3178,3093,6970,7212,8296,..
Serbia,SRB,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,198452,200658,194696,200782,205169,197889,191014,..
Serbia,SRB,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,194198,182941,202799,209674,224873,235686,238710,237598,235940,226772,228531,231661,238945,242848,241054,251162,262108,256172,249771,..
Serbia,SRB,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,34212,34469,37803,40236,45447,46759,47350,..
Serbia,SRB,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,944,1064,2924,4100,5206,5550,6281,7721,8555,10144,11492,11524,11407,..
Seychelles,SYC,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,406,555,629,775,858,912,..
Seychelles,SYC,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,..,..,..,..,189,100,238,478,1035,1280,1338,1123,1229,..
Seychelles,SYC,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50,124,133,140,152,194,..
Seychelles,SYC,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,4,3,4,..
Sierra Leone,SLE,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,6744,8913,9041,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117776,115541,116019,..,..
Singapore,SGP,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,183627,198634,213446,236891,243546,255348,..,..,..,195125,194615,198047,..,..
Singapore,SGP,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11772,11846,12300,..,..
Singapore,SGP,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,5045,6064,7048,7794,8511,8515,..,..,..,2529,2583,2678,..,..
Sint Maarten (Dutch part),SXM,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70,78,..,..,..,..,..
